Date,Start,High,Low,Close
101/12/03,7582.65,7628.29,7562.19,7599.91
101/12/04,7572.11,7600.98,7536.66,7600.98
101/12/05,7575.63,7650.12,7567.46,7649.05
101/12/06,7660.97,7673.62,7616.79,7623.26
101/12/07,7640.25,7672.92,7631.63,7642.26
101/12/10,7658.39,7669.05,7603.25,7609.5
101/12/11,7621.0,7630.66,7556.67,7613.69
101/12/12,7653.9,7696.02,7645.54,7690.19
101/12/13,7713.69,7757.09,7699.41,7757.09
101/12/14,7722.88,7723.74,7686.32,7698.77
101/12/17,7664.97,7683.32,7603.51,7631.28
101/12/18,7620.29,7643.74,7616.04,7643.74
101/12/19,7671.13,7685.63,7647.01,7677.47
101/12/20,7646.13,7646.13,7574.56,7595.46
101/12/21,7592.57,7608.81,7491.52,7519.93
101/12/22,7537.52,7546.9,7520.8,7540.14
101/12/24,7542.66,7566.09,7520.62,7535.52
101/12/25,7556.24,7654.6,7543.83,7636.57
101/12/26,7646.51,7683.09,7633.83,7634.19
101/12/27,7634.8,7661.01,7622.73,7648.41
101/12/28,7700.87,7708.31,7665.04,7699.5
102/01/02,7738.05,7793.48,7715.26,7779.22
102/01/03,7826.34,7855.16,7815.29,7836.84
102/01/04,7818.27,7818.27,7773.06,7805.99
102/01/07,7797.05,7797.05,7725.47,7755.09
102/01/08,7737.07,7751.8,7692.98,7721.66
102/01/09,7726.4,7763.97,7703.23,7738.64
102/01/10,7780.98,7825.06,7760.09,7811.64
102/01/11,7843.57,7845.36,7801.69,7819.15
102/01/14,7795.68,7823.97,7731.32,7823.97
102/01/15,7823.51,7823.51,7744.39,7765.02
102/01/16,7766.09,7769.18,7700.43,7700.43
102/01/17,7748.57,7774.97,7603.27,7616.64
102/01/18,7697.28,7732.87,7676.11,7732.87
102/01/21,7725.36,7739.37,7674.18,7724.92
102/01/22,7746.79,7759.47,7699.25,7759.1
102/01/23,7773.2,7773.2,7730.1,7744.18
102/01/24,7717.04,7724.68,7653.62,7695.99
102/01/25,7695.25,7704.31,7637.2,7672.58
102/01/28,7685.67,7717.35,7685.67,7714.67
102/01/29,7744.15,7802.0,7739.6,7802.0
102/01/30,7832.95,7847.21,7804.71,7832.98
102/01/31,7832.87,7850.02,7800.9,7850.02
102/02/01,7853.75,7866.23,7832.0,7855.97
102/02/04,7882.76,7929.97,7880.29,7923.16
102/02/05,7896.67,7896.67,7863.91,7886.94
102/02/06,7925.26,7941.65,7906.65,7906.65
102/02/18,8000.69,8005.73,7927.95,7943.53
102/02/19,7974.4,7974.4,7946.09,7960.88
102/02/20,8021.31,8029.1,7995.16,8029.1
102/02/21,8020.52,8020.52,7957.46,7957.46
102/02/22,7947.88,7970.24,7913.16,7947.72
102/02/23,7979.15,7997.94,7965.89,7986.89
102/02/25,7986.87,7995.11,7947.68,7947.68
102/02/26,7891.41,7927.49,7871.23,7880.9
102/02/27,7886.03,7912.85,7873.29,7897.98
102/03/01,7917.72,7964.63,7917.72,7964.63
102/03/04,7966.22,7966.22,7849.52,7867.34
102/03/05,7910.44,7939.85,7882.56,7932.71
102/03/06,7958.11,7982.39,7936.86,7950.3
102/03/07,7950.9,7984.29,7942.37,7960.51
102/03/08,7981.0,8029.14,7981.0,8015.14
102/03/11,8021.88,8089.21,8001.85,8038.72
102/03/12,8039.0,8063.23,7986.59,7994.71
102/03/13,8018.9,8047.56,7962.42,7995.51
102/03/14,8002.42,8002.71,7946.29,7951.76
102/03/15,7989.67,7999.92,7924.94,7927.49
102/03/18,7886.69,7888.16,7807.61,7811.34
102/03/19,7843.47,7863.77,7823.81,7838.47
102/03/20,7834.73,7844.54,7786.56,7798.03
102/03/21,7828.95,7843.16,7811.84,7811.84
102/03/22,7811.52,7832.59,7796.22,7796.22
102/03/25,7862.58,7877.05,7854.47,7856.12
102/03/26,7873.7,7876.68,7845.56,7856.36
102/03/27,7872.75,7894.26,7857.32,7894.12
102/03/28,7905.71,7905.71,7844.84,7866.88
102/03/29,7904.5,7931.7,7883.81,7918.61
102/04/01,7934.25,7937.73,7896.57,7899.24
102/04/02,7897.16,7924.46,7879.55,7913.18
102/04/03,7949.12,7954.15,7913.77,7942.35
102/04/08,7831.22,7843.1,7747.47,7752.79
102/04/09,7766.62,7781.13,7714.93,7728.54
102/04/10,7772.95,7772.95,7739.99,7752.8
102/04/11,7788.58,7857.98,7788.58,7857.98
102/04/12,7861.12,7864.86,7810.54,7821.63
102/04/15,7815.32,7835.12,7753.24,7763.53
102/04/16,7690.91,7801.05,7688.62,7801.05
102/04/17,7822.81,7822.81,7791.53,7809.07
102/04/18,7781.48,7826.13,7757.33,7791.35
102/04/19,7868.9,7933.72,7862.92,7930.8
102/04/22,7976.1,7996.55,7950.01,7970.38
102/04/23,7955.92,7968.79,7913.6,7942.77
102/04/24,7977.4,8025.45,7968.28,8023.71
102/04/25,8015.38,8026.46,7994.19,8021.75
102/04/26,8034.47,8081.37,8020.47,8022.06
102/04/29,8043.71,8046.22,8014.27,8029.74
102/04/30,8065.92,8115.59,8065.92,8093.66
102/05/02,8111.43,8139.49,8095.7,8128.51
102/05/03,8157.51,8175.33,8121.07,8135.03
102/05/06,8188.48,8197.52,8153.96,8169.05
102/05/07,8177.58,8181.8,8145.1,8163.06
102/05/08,8177.94,8284.09,8177.94,8267.09
102/05/09,8314.37,8322.69,8279.46,8285.89
102/05/10,8284.38,8297.33,8258.62,8280.26
102/05/13,8285.45,8296.54,8230.65,8248.32
102/05/14,8272.2,8295.41,8233.98,8251.82
102/05/15,8264.1,8320.32,8251.51,8318.59
102/05/16,8362.49,8414.88,8346.45,8390.05
102/05/17,8377.26,8402.34,8356.79,8368.19
102/05/20,8364.95,8385.68,8347.33,8377.05
102/05/21,8381.36,8420.68,8361.96,8383.05
102/05/22,8414.06,8439.15,8376.21,8398.84
102/05/23,8367.85,8373.09,8235.5,8237.83
102/05/24,8273.21,8277.56,8172.54,8209.78
102/05/27,8218.88,8280.1,8210.32,8280.1
102/05/28,8289.15,8303.71,8261.54,8263.05
102/05/29,8303.2,8344.21,8303.2,8337.9
102/05/30,8316.97,8316.97,8228.8,8243.29
102/05/31,8318.77,8334.44,8237.08,8254.8
102/06/03,8177.97,8225.79,8149.45,8201.02
102/06/04,8243.22,8250.17,8180.39,8191.22
102/06/05,8195.52,8216.31,8161.1,8181.91
102/06/06,8135.56,8162.25,8088.31,8096.14
102/06/07,8113.95,8146.78,8071.98,8095.2
102/06/10,8161.51,8190.87,8142.71,8160.55
102/06/11,8178.95,8178.95,8116.15,8116.15
102/06/13,8041.5,8057.33,7951.66,7951.66
102/06/14,7978.75,7989.19,7912.37,7937.74
102/06/17,7953.65,7999.43,7940.72,7992.89
102/06/18,7994.81,8024.95,7955.74,8011.02
102/06/19,8033.32,8056.19,8005.57,8007.39
102/06/20,7952.36,7962.76,7890.93,7898.91
102/06/21,7778.84,7815.79,7739.09,7793.31
102/06/24,7788.45,7815.1,7744.49,7758.03
102/06/25,7750.34,7792.27,7663.23,7663.23
102/06/26,7789.34,7821.14,7742.2,7784.8
102/06/27,7841.32,7884.13,7834.33,7883.9
102/06/28,7928.54,8062.21,7891.06,8062.21
102/07/01,8011.95,8063.47,7974.15,8036.0
102/07/02,8061.84,8064.12,8012.79,8015.86
102/07/03,7991.53,7995.3,7899.08,7911.42
102/07/04,7919.26,7927.08,7877.06,7893.72
102/07/05,7932.3,8018.93,7926.35,8001.82
102/07/08,7980.11,7992.16,7885.0,7886.34
102/07/09,7891.53,7975.64,7891.37,7971.18
102/07/10,7974.99,8057.92,7974.99,8011.69
102/07/11,8080.97,8179.54,8080.97,8179.54
102/07/12,8187.86,8220.49,8169.92,8220.49
102/07/15,8178.26,8254.68,8175.55,8254.68
102/07/16,8243.62,8260.11,8222.17,8260.11
102/07/17,8239.1,8260.25,8208.71,8258.95
102/07/18,8238.28,8265.7,8181.99,8194.88
102/07/19,8117.94,8139.81,8046.7,8062.03
102/07/22,8092.03,8137.37,8092.03,8105.45
102/07/23,8152.72,8220.89,8145.09,8214.65
102/07/24,8222.85,8233.1,8172.23,8196.19
102/07/25,8173.19,8203.49,8140.41,8163.58
102/07/26,8188.36,8222.82,8135.73,8149.4
102/07/29,8146.14,8163.89,8074.29,8084.5
102/07/30,8113.17,8176.74,8112.91,8163.55
102/07/31,8163.44,8170.57,8107.6,8107.94
102/08/01,8110.73,8113.4,8056.22,8056.22
102/08/02,8114.51,8162.91,8087.1,8099.88
102/08/05,8104.2,8143.44,8075.99,8138.63
102/08/06,8129.85,8129.85,8028.93,8038.91
102/08/07,7993.57,7993.57,7921.29,7921.29
102/08/08,7910.2,7932.35,7894.18,7907.67
102/08/09,7955.0,7955.0,7853.97,7856.14
102/08/12,7878.22,7908.68,7862.04,7903.38
102/08/13,7935.79,7986.27,7935.79,7986.27
102/08/14,7978.74,7981.56,7926.23,7951.33
102/08/15,7903.01,7916.02,7850.27,7887.26
102/08/16,7854.68,7949.43,7850.49,7925.0
102/08/19,7937.45,7944.74,7888.87,7900.21
102/08/20,7896.38,7924.52,7829.78,7832.65
102/08/22,7779.44,7825.56,7737.33,7814.38
102/08/23,7863.73,7895.13,7845.92,7873.31
102/08/26,7906.52,7913.74,7874.05,7894.97
102/08/27,7875.93,7895.23,7820.84,7820.84
102/08/28,7776.87,7834.11,7761.76,7824.54
102/08/29,7841.99,7931.05,7841.99,7917.66
102/08/30,7949.99,8021.89,7936.82,8021.89
102/09/02,8010.15,8052.71,7993.13,8038.86
102/09/03,8095.66,8102.66,8067.62,8088.37
102/09/04,8066.67,8094.12,8041.49,8083.44
102/09/05,8109.24,8169.1,8107.22,8169.1
102/09/06,8180.53,8182.56,8155.5,8164.2
102/09/09,8176.47,8192.11,8117.87,8192.11
102/09/10,8217.21,8238.91,8155.87,8208.77
102/09/11,8174.54,8208.99,8137.07,8208.99
102/09/12,8180.38,8226.61,8177.03,8225.36
102/09/13,8210.15,8228.67,8162.14,8168.2
